time,blocknumber,reward,stake,reward(usd), stake(usd)
2021-05-21 23:02:48,12480000,360063880.95983046,16482320.808218898,656802381.0397426,30065852.54550094
2021-05-22 17:47:37,12485000,360157412.0418817,16483149.078110443,533594140.35949403,24420743.45461186
2021-05-23 12:24:37,12490000,368328504.12991816,16488197.817972073,441969446.6339998,19784729.07714643
2021-05-24 06:50:46,12495000,377822713.64774036,16487993.817972073,415797754.8943663,18145205.58077618
2021-05-25 01:17:42,12500000,384367871.9118113,16467964.480640797,653473651.1666131,27997607.664033666
2021-05-25 20:02:59,12505000,389488921.14419365,16378253.631301727,662180077.9630147,27845087.95426898
2021-05-26 14:41:04,12510000,395711974.0405845,16538265.646213997,762150047.6183118,31853066.817971867
2021-05-27 09:11:20,12515000,395810278.73833364,16538265.646213997,876955367.7979373,36642102.57183238
2021-05-28 03:55:30,12520000,398365946.8518541,16538265.646213997,811013624.3073034,33669441.04406839
2021-05-28 22:39:54,12525000,398471439.2498748,16589047.173463311,811228391.0882789,33772824.65601563
2021-05-29 17:19:01,12530000,399456150.24559,16589047.173463311,731263595.4948223,30368705.737642914
2021-05-30 11:49:58,12535000,403058117.50742084,16589047.173463311,680315413.884591,28000390.027023606
2021-05-31 06:37:53,12540000,403165376.6804536,16590429.24601439,743217897.0008019,30583737.21495519
2021-06-01 01:07:33,12545000,407252859.97889256,16632271.998614939,764843473.3715193,31236329.896221798
2021-06-01 19:47:04,12550000,409974118.02609533,16629771.998614939,769954147.0126342,31231634.75747304
2021-06-02 14:07:55,12555000,410079558.0997013,16633472.171506066,748415878.6082298,30356925.732242007
2021-06-03 08:47:08,12560000,415341943.8927152,16633472.171506066,749196945.8210144,30003583.150056493
2021-06-04 03:28:34,12565000,420827790.5208585,16633472.171506066,770323767.4351443,30447511.39848283
2021-06-04 21:42:54,12570000,420929205.53856647,16633572.171506066,770509407.2628244,30447694.44812565
2021-06-05 16:36:14,12575000,429747889.8586465,16632572.171506066,700737958.345673,27120725.756982367
2021-06-06 10:59:46,12580000,434163160.6776633,16632572.171506066,661143740.1265721,25328083.93100591
2021-06-07 05:20:37,12585000,434257606.87559915,16633008.62566806,685751382.5280354,26265765.94182746
2021-06-08 00:06:45,12590000,431025828.0688139,15632009.549240764,636506138.6443402,23084161.9909844
2021-06-08 18:35:13,12595000,432725687.6166763,15632009.549240764,639016361.852762,23084161.9909844
2021-06-09 13:08:54,12600000,432809432.8939966,15638832.819688404,642629934.7259357,23220339.83156651
2021-06-10 07:58:10,12605000,435224913.4117798,15638832.819688404,652856236.1381426,23458927.137738355
2021-06-11 02:19:43,12610000,438063193.3501276,15639332.819688404,597491911.2689263,21331111.582200103
2021-06-11 21:00:58,12615000,438166798.2569479,15639332.819688404,597633222.1453764,21331111.582200103
2021-06-12 15:49:46,12620000,439836736.0944998,15652374.76330785,550448184.4448261,19588680.443603724
2021-06-13 10:24:22,12625000,442134092.18866926,15652374.76330785,596734472.6763057,21125517.72309087
2021-06-14 04:46:47,12630000,442233365.4164223,15652374.76330785,650809986.7382836,23034720.147221044
2021-06-14 23:26:12,12635000,442335188.766363,15652374.76330785,650959834.4390833,23034720.147221044
2021-06-15 18:03:19,12640000,442433947.3222297,15659880.856449105,685243792.4236293,24254097.61597698
2021-06-16 12:38:25,12645000,442527084.5911433,15659880.856449105,726202112.0405631,25698401.178684656
2021-06-17 07:14:34,12650000,446008102.9291076,15659880.856449105,657052993.6173466,23069920.767911125
2021-06-18 01:47:11,12655000,448928056.4639323,15657342.500890158,677420316.9342214,23626507.1130675
