date,reward,reward(USD),MATIC(USD),diff,diff(USD)
2020-10-26,112269700.50362244,1929570.3910066069,0.01718692026745317,868080.5680428743,14919.631508678336
2020-10-27,113057031.82293661,1868279.4807862889,0.01652510640569692,787331.3193141669,13010.733828204347
2020-10-28,113844363.42149587,1800657.717154352,0.015816836802781554,787331.5985592604,12453.095404084941
2020-10-29,114732629.2093299,1733997.8376969274,0.015113380122521607,888265.7878340334,13424.698501366875
2020-10-30,115762209.64945418,1603454.6597127256,0.013851278967188295,1029580.4401242733,14261.005895321814
2020-10-31,116569728.15089522,1624474.272014301,0.013935644337365865,807518.5014410466,11253.29063192509
2020-11-01,117437811.7756353,1611541.2245893925,0.013722507259146142,868083.624740079,11912.28384204163
2020-11-02,118326079.57621376,1669150.5630299533,0.014106362426677508,888267.8005784601,12530.22752690746
2020-11-03,119375848.60902785,1634252.2402748268,0.013689973803890811,1049769.0328140855,14371.310559360623
2020-11-04,120264115.24885152,1530835.3811198745,0.012728945604033716,888266.6398236752,11306.69774019337
2020-11-05,121313884.56910968,1485545.2931495174,0.01224546801403625,1049769.3202581555,12854.91663333782
2020-11-06,122101156.86060382,1649382.1051830444,0.013508324962605008,787272.291494146,10634.729947557618
2020-11-07,122888478.70586339,1898565.8883227238,0.015449502738714739,787321.8452595621,12163.731004587547
2020-11-08,123776745.37189429,1777589.2356894345,0.014361253645412674,888266.6660308987,12756.622895634806
2020-11-09,124644811.23570363,1963670.5962712562,0.015754130290734285,868065.8638093472,13675.622719391258
2020-11-10,125593641.4231625,1962626.7108861196,0.01562679996094263,948830.1874588728,14827.179536323503
2020-11-11,126280026.44609149,2182366.819384453,0.01728196359157478,686385.022928983,11862.080976060905
2020-11-12,127168256.2426926,2107776.333480326,0.016574705007024442,888229.7966011167,14722.14685711283
2020-11-13,128116986.16386387,2030039.086225126,0.015845198572097766,948729.9211712629,15032.813992249321
2020-11-14,129166662.50612767,2176984.7480211193,0.01685407601143093,1049676.342263803,17691.324859914923
2020-11-15,130135265.83580333,2176361.7624168824,0.016723843060057836,968603.3296756595,16198.77007294519
2020-11-16,130922262.24130148,2149667.335817302,0.016419417897433466,786996.405498147,12922.022865652081
2020-11-17,131850904.44073233,2191208.2951610163,0.01661883401145704,928642.1994308531,15432.950568375732
2020-11-18,132860036.12262163,2369090.188879048,0.017831473315967804,1009131.6818892956,17994.304657906687
2020-11-19,133667346.2956991,2284853.722490906,0.017093581834387212,807310.173077479,13799.82250923319
2020-11-20,134575726.06195387,2319116.040428196,0.017232796049419484,908379.7662547678,15653.923247287756
2020-11-21,135120798.3796693,2410163.2870495874,0.01783710069768378,545072.3177154362,9722.509818610122
2020-11-22,135887934.22699586,2682966.8998726597,0.019743967079452834,767135.8473265469,15146.304915083498
2020-11-23,136433004.7710366,2616723.3834303804,0.01917954814395384,545070.5440407395,10454.206741280475
2020-11-24,137220329.2712135,2898665.727150466,0.02112417119639253,787324.5001769066,16631.577528851158
