blocknumber,timestamp,totalStaked,totalRewards 
10952580,1601317889,12075576.365191839208500045, 80148859.243977381398048217
10957580,1601384615,12075674.365191839208500045, 80982977.578442286885110295
10962580,1601452959,12075674.365191839208500045, 81608567.423558791413730715
10967580,1601520424,12125710.135191839208500045, 82234157.423558791413730715
10972580,1601587058,12128275.135191839208500045, 82813407.423558791413730715
10977580,1601654782,12128275.135191839208500045, 83601187.144895981752202270
10982580,1601722499,12143580.135191839208500045, 84435306.094505345349913273
10987580,1601790484,12143580.135191839208500045, 85223064.237147168036863381
10992580,1601858530,12143580.135191839208500045, 85998229.510115232897334101
10997580,1601925555,12209646.797132542382162343, 86724997.135122030184486189
11002580,1601992465,12209646.797132542382162343, 87270072.948272805875218410
11007580,1602060041,12209646.797132542382162343, 87451761.481824159917773436
11012580,1602127935,12221675.613289362400769138, 88117946.813586080866563469
11017580,1602196627,12223675.613289362400769138, 88864809.302240928765006044
11022580,1602264527,12233675.613289362400769138, 89672328.759636685491048797
11027580,1602331250,12284205.231606457812784861, 90378908.382602042503121914
11032580,1602398167,12291982.231606457812784861, 91085487.973380884662951087
11037580,1602463163,12361573.970184422921125355, 91812255.615680854267135998
11042580,1602529844,12361573.970184422921125355, 92458267.876058221483163187
11047580,1602595920,16361573.979095753446180025, 93104280.533116847778925099
11052580,1602662020,16361573.979095753446180025, 93891611.088342786407033958
11057580,1602727691,16365589.040506387704136238, 94678941.912997245165785919
11062580,1602793812,16365589.040506387704136238, 95405706.824225148806914817
11067580,1602859852,16366589.040506387704136238, 95870029.179640285355822810
11072580,1602926349,16367689.691060031049994103, 96334351.660596437426817145
11077580,1602993086,16367689.691060031049994103, 97020742.202186659637163511
11082580,1603059717,16367689.691060031049994103, 97727215.337576993867957007
11087580,1603125485,16616274.278939609865523045, 98393396.262518398692880808
11092580,1603191430,16654959.789594595181988276, 99140330.431127369842391853
11097580,1603257913,16685469.878083487927823263, 99786263.038357176641603619
11102580,1603323994,17088779.004179821187066289,100371473.957143920597732466
11107580,1603390416,17091279.004179821187066289,100916549.526428143324829905
11112580,1603456952,17091279.004179821187066289,101562565.222629010842037913
11117580,1603522494,17091279.004179821187066289,102367491.716514394700869814
11122580,1603588553,17163907.274443484051707525,102973130.761192254965683055
11127580,1603656139,17163907.274443484051707525,103720086.064534689498028647
11132580,1603722549,17163907.274443484051707525,104305535.390442271069620237
11137580,1603788482,17163909.274443484051707525,104971738.242985955787970337
11142580,1603854461,17163909.274443484051707525,105557189.663536957707935073
11147580,1603919933,17169910.376554595085365285,106142641.421700324602349927
11152580,1603986782,17169910.376554595085365285,106829028.666281998288450596
11157580,1604053130,17170223.005439933462957959,107636542.808589775141583727
11162580,1604119545,17170223.005439933462957959,108282554.762362582538393089
11167580,1604185950,17170244.005439933462957959,108968946.150895224822789886
11172580,1604252256,17170244.005439933462957959,109635149.896830164961491027
11177580,1604319344,17173444.005439933462957959,110240788.623149825711234479
11182580,1604385002,17173444.005439933462957959,111048303.203367351945623446
11187580,1604451495,17173888.005439933462957959,111876006.008171263385256626
11192580,1604518215,17181888.005439933462957959,112522018.111477515360534860
11197580,1604584018,17182888.005439933462957959,113309344.976662952009772575
11202580,1604649751,17182888.005439933462957959,113975544.956903555198682320
11207580,1604715902,17779804.127140345695244864,114560937.670643282721832595
11212580,1604782599,17779804.127140345695244864,115247320.946243775138931366
11217580,1604849502,17779804.127140345695244864,115913520.932373093857000490
11222580,1604915595,17780412.470178733516279475,116519157.332538815553318365
11227580,1604981117,17780616.555106410094895477,117245908.037829360865787411
11232580,1605048604,17793485.669090935550943326,117972671.542762376731739264
11237580,1605114535,18300788.163136988087014551,118457180.057420824133714487
11242580,1605181018,18300862.090070048043051932,119143533.044229682571982324
11247580,1605247061,18379139.878182061969395472,119829909.847822851380569705
11252580,1605313456,18422334.123098402406649813,120576766.804409864865710230
11257580,1605380276,18422409.123098402406649813,121404379.315734878861713564
11262580,1605445551,18422770.458431885153499020,122130892.838061940366484032
11267580,1605511624,18423100.266498469279751574,122776491.242310333850993175
11272580,1605578321,18423489.654552971315956395,123422419.118547988816375740
11277580,1605644382,18441622.963557687895606249,124128994.440732327680249344
11282580,1605711162,18441622.963557687895606249,124936466.134932428406297407
11287580,1605777805,18441970.033382396317642433,125582066.052936380978523076
11292580,1605843537,18442266.673157715037146959,126228068.137656163060682827
11297580,1605910258,18442584.239288175037870143,126934568.409270299095905895
11302580,1605976588,18457579.570848432185523613,127358514.081795062411492715
11307580,1606042536,18457779.113204639519683201,128004523.180339379325697435
11312580,1606108813,18457821.137645882935320237,128367903.382309151814976703
11317580,1606175639,18458111.723314526670710877,128872598.386769266109116613
11322580,1606241591,18505997.763687832459734945,129437857.003130699710913210
11327580,1606308275,18506288.932285200827889569,130083787.762261581053062673
11332580,1606374657,19523550.929983508613541865,130709609.699507377521015213
11337580,1606440547,19523782.298704726793470804,131093179.435030076772122311
11342580,1606507826,19769782.298704726793470804,131739195.435030076772122311
11347580,1606573959,19784285.500633439507803568,132526406.121756889556425392
11352580,1606638992,19784813.617474228030065864,132990730.071943364462946566
11357580,1606706273,19785069.354483010775644632,133636744.341022821699597887
11362580,1606771569,19785384.750624389146932785,134040503.504186676727856062
11367580,1606837795,19785384.750624389146932785,134504826.811733958620218186
11372580,1606905817,19911620.434484363086851368,134908507.460300907718670606
11377580,1606971418,19913354.397584884319857360,135413202.177354677141987579
11382580,1607037186,19980617.760893196763778654,135857336.890153499114033395
11387580,1607103744,19980617.760893196763778654,136442787.057947335411204501
11392580,1607170557,19980865.987372720945267696,137048360.148183589292633640
11397580,1607237003,20008025.201365305055809558,137775065.106812728009096485
11402580,1607303291,20013808.811735944300599551,138380685.688696221023591335
11407580,1607369481,20021645.811735944300599551,138905546.707737714721419131
11412580,1607436315,20024759.452847665462205118,139470755.723351777494139022
11417580,1607502463,20024998.191553722700647356,139955236.132620805790246011
11422580,1607568139,20027830.921722878719124876,140399370.569137235663696729
11427580,1607635186,20028093.231029900160603107,141065559.450920864032616348
11432580,1607702531,20228093.231029900160603107,141348187.374012437223374978
11437580,1607769129,20228250.040458106963415639,141873073.833192005250322775
11442580,1607835555,20331956.390682666695705410,142498900.203390101859665773
11447580,1607902128,20433749.274812770595968591,142902657.413541818850247584
11452580,1607968564,20604583.687794595858170997,143407353.672474511282854884
11457580,1608034940,20646974.231643851155561319,144070498.309881620220164550
11462580,1608101298,20647828.021801912831183543,144560548.191961405852582086
11467580,1608167139,20648022.424057118916396203,145105613.065704526593529726
11472580,1608233652,20648022.424057118916396203,145731177.701077528222169082
11477580,1608299612,20648274.406956923144299409,146397295.279214199722631768
11482580,1608366924,20665928.332433028006862768,147184546.781369261044683725
11487580,1608432522,20639282.342511795880427958,147729522.986934394590119886
11492580,1608498655,20639282.342511795880427958,148355450.275815889842412886
11497580,1608564387,20639498.824340806817978759,148920807.214768860690691075
11502580,1608630989,20639856.463815739942449425,149445778.116083172638248600
11507580,1608697364,20640136.814057341381320578,150051515.665376271532652732
11512580,1608762963,20640327.572840605162236980,150536097.754648233364052757
11517580,1608829996,17710523.865548479002850961,150960113.406812846135996070
11522580,1608896363,18739196.191167174514542901,151384126.485721293930689465
11527580,1608963139,18740535.847794474019540767,151949476.213161067083556455
11532580,1609028700,18758970.303146763573712278,152635953.899637577664056074
11537580,1609095439,18758970.303146763573712278,153159656.613629633382506778
11542580,1609160158,18759179.100458434686242107,153683672.474930293104302486
11547580,1609227166,18759387.243443601077515549,154288825.015749130161964271
11552580,1609294729,18764726.131164897558045285,154651894.327689226270962928
11557580,1609360218,18764726.131164897558045285,155050332.835762319155153476
11562580,1609426195,18764903.596486309994246986,155630450.853647055234993881
11567580,1609493355,18765132.101079185063252899,156114423.139101117833344411
11572580,1609558656,18980800.011601878890763065,156598389.884917411947514940
11577580,1609624368,18980800.011601878890763065,156981504.600261670766124752
11582580,1609690932,18980967.895520308370189939,157485548.907922686466245359
11587580,1609757907,18981123.405633252567832077,157646843.919011281489123161
11592580,1609824264,18981247.640160185753196377,158150888.264090859677790664
11597580,1609889925,18981430.012014908984214668,158614796.592757675618744395
11602580,1609956329,18981430.012014908984214668,159139675.029411285367403624
11607580,1610022745,18981625.037410195229964745,159503113.892039673919757340
11612580,1610089469,18981805.710546052034528391,159967471.384514790436489972
11617580,1610155153,18981945.942203263689578467,160290419.390289789637485317
11622580,1610222107,18981945.942203263689578467,160754645.590544148855826112
11627580,1610287832,18982126.243198248121962794,161339973.136082239619919426
11632580,1610354439,18982333.234801559901742716,161804164.675701285441611531
11637580,1610420366,18982563.992976226580609609,162065581.437433144396007364
11642580,1610486387,18982563.992976226580609609,162608192.139821835212877331
11647580,1610553168,19030666.042061072406177222,163192142.267961660823439200
11652580,1610618756,19030892.375182019869895887,163636163.675902615243308110
11657580,1610686355,19031044.350197849150697339,164060020.731354148061719256
11662580,1610751577,19037178.205469053623362310,164524057.945245924580392794
11667580,1610818185,19037178.205469053623362310,164907549.313503502484959781
11672580,1610885042,19039218.640957721077094503,165290838.144450336821122407
11677580,1610950777,19039428.003896476966682758,165734870.379554883438016874
11682580,1611017382,19039535.818007001916509888,166097552.632611438327477211
11687580,1611083549,19077489.573842495645405169,166480128.707647024924146799
11692580,1611149795,19077655.926563169716266992,166903125.465169261530280263
11697580,1611216093,19077655.926563169716266992,167305579.659498764640633136
11702580,1611281432,19077831.121253225857397740,167768912.659320700601696334
11707580,1611348993,19078005.494447330237199937,168120794.595938357288434207
11712580,1611415176,19078168.180942157819558703,168450141.668760831020509192
11717580,1611481422,19106581.746023668499120540,168755448.552168901745932735
11722580,1611548002,19106581.746023668499120540,169193113.606453937857238295
11727580,1611613261,19144570.033160630288256529,169675313.899280151516191572
11732580,1611680433,19158453.256548325587776877,170058777.117448562091196322
11737580,1611747242,19158672.719917272706957953,170553261.051768938259391021
11742580,1611813438,19158672.719917272706957953,170834775.359544935422922474
11747580,1611880301,19168751.354509524118307331,171143785.712384558104551533
11752580,1611947069,19168751.354509524118307331,171398656.806635456772120496
11757580,1612013457,19218896.550754189810945227,171811977.908215171893671919
11762580,1612080377,19218896.550754189810945227,172170135.295214763566295593
11767580,1612145346,19229064.701333953032084115,172351670.798174496853857602
11772580,1612212446,19229137.099074997591427514,172513006.477728768139210768
11777580,1612279091,19229534.099074997591427514,172714779.363882650067430782
11782580,1612346028,19229728.953720837127663089,172916649.143432440719307195
11787580,1612412714,19229728.953720837127663089,173158934.978178502135561325
11792580,1612478635,19229728.953720837127663089,173471345.314363114416827356
11797580,1612545360,19229978.953720837127663089,173976082.036927847313528729
11802580,1612612147,19229978.953720837127663089,174329424.570624850786200838
11807580,1612678044,19229978.953720837127663089,174834199.685680077038413829
11812580,1612744136,19230548.827688873185167732,175439930.733639565744547271
11817580,1612811107,19230701.741137431124589010,175944105.404339116451139434
11822580,1612878088,19230701.741137431124589010,176345661.824918737822503792
11827580,1612944414,19352227.463407298349993254,176699005.626572586538601055
11832580,1613010622,19352227.463407298349993254,177253765.437475010881719047
11837580,1613077098,19352555.476184313215049320,177960429.063798683064296640
11842580,1613142931,19952421.732182739998446660,178566170.264453888551191630
11847580,1613209865,19952421.732182739998446660,179219474.243209559780536135
11852580,1613275992,19952421.732182739998446660,180075058.480598547643923467
11857580,1613342234,19942421.732182739998446660,180680007.269931345105480257
11862580,1613408660,19942421.732182739998446660,181336150.065558266735025025
11867580,1613475507,19862036.768686891678682229,181790409.945195012466307467
11872580,1613542092,19891836.768686891678682229,182042795.499156235824542354
11877580,1613607887,19891979.465656343093464832,182497006.467760140941149243
11882580,1613674685,19892079.465656343093464832,182799859.736601506669835360
11887580,1613740726,19892079.465656343093464832,183254065.230716567878454755
11892580,1613807460,20144077.465656343093464832,183707233.757605065890194290
11897580,1613873606,20144077.465656343093464832,184161504.232913971402357846
11902580,1613940626,20144077.465656343093464832,184802301.989318517174812570
11907580,1614006969,20144806.819121590359323019,185053130.136094749340320849
11912580,1614073998,20144806.819121590359323019,185405590.850422599355270440
11917580,1614139066,20222445.007575502596480753,185809300.390832063285860338
11922580,1614206547,20222445.007575502596480753,186110811.012929753222274860
11927580,1614272919,20244773.321203587388040097,186610204.465018378720902767
11932580,1614339175,20248884.289083361569777882,186963467.682557525629227746
11937580,1614405219,20248884.289083361569777882,187312269.886470857963441031
11942580,1614471449,20248884.289083361569777882,187665281.914233634649667581
11947580,1614539035,20249412.064841664133576744,188017111.726626813951307655
11952580,1614605210,20260102.103257342370774157,188362546.620345627993576788
11957580,1614671548,20250224.226309007696465442,188608875.724316597704528625
11962580,1614738024,20250330.382249922873242356,189247526.286804349584703688
11967580,1614804887,20250330.382249922873242356,189638237.612971428878059293
11972580,1614871472,20250330.382249922873242356,189990329.991936746683597881
11977580,1614937794,20250500.045113624566584298,190140664.864448141142239632
11982580,1615003617,20275973.552936711266605579,190543233.606779399240780996
11987580,1615069539,20275973.552936711266605579,190694196.042338496466097490
11992580,1615136765,20275973.552936711266605579,191146718.556031336623614529
11997580,1615202875,20275973.552936711266605579,191851103.762906652579112463
12002580,1615269760,20275973.552936711266605579,192253519.998273114249324722
12007580,1615336811,20275973.552936711266605579,192652283.521610859010188006
12012580,1615402994,20275973.552936711266605579,193105168.436004190038407870
12017580,1615469705,20280608.652533917185680195,193557965.331250463276778037
12022580,1615536781,20280608.652533917185680195,193859824.866056947174568250
12027580,1615603599,20280608.652533917185680195,194161622.842295863561650393
12032580,1615670081,20280608.652533917185680195,194664816.200739392479872031
12037580,1615736747,20280608.652533917185680195,194966691.949564669797910938
12042580,1615803441,20315918.473897349889712079,195311395.626581662323381012
12047580,1615869822,20315918.473897349889712079,195704331.563339643436857225
12052580,1615935771,20315918.473897349889712079,196047105.472678757577190637
12057580,1616002774,20315918.473897349889712079,196540172.609652749798678277
12062580,1616069717,20316048.714147071101411491,196920351.321027899623170062
12067580,1616135637,20316048.714147071101411491,197345102.237651273724408402
12072580,1616201967,20316048.714147071101411491,197588882.867689276888232465
12077580,1616268306,20316048.714147071101411491,197835445.561447646185477761
12082580,1616335765,20318447.511668924615528427,198329217.834427200217980573
12087580,1616402533,20318447.511668924615528427,198576025.660529888061642562
12092580,1616468846,20318447.511668924615528427,198966217.708336894412495457
12097580,1616535366,20178314.441359071063807761,199601408.932735586952047587
12102580,1616602481,20178314.441359071063807761,200094352.544613830775916402
12107580,1616668008,20178319.441359071063807761,200537947.494344394009835699
12112580,1616734592,20178319.441359071063807761,200883639.679750324960777448
12117580,1616800475,20178319.441359071063807761,201179489.204211582010647007
12122580,1616867774,20178319.441359071063807761,201179489.204211582010647007
12127580,1616934220,20078319.441359071063807761,201179489.204211582010647007
12132580,1617000065,20121297.499257821519317998,201179489.204211582010647007
12137580,1617066222,19903936.159257821519317998,201179489.204211582010647007
12142580,1617133419,19903936.159257821519317998,201179489.204211582010647007
12147580,1617200025,19903936.159257821519317998,201179489.204211582010647007
12152580,1617266189,19903936.159257821519317998,201179489.204211582010647007
12157580,1617332095,20006536.159257821519317998,201179489.204211582010647007
12162580,1617399186,20058949.952170690633459466,201179489.204211582010647007
12167580,1617465848,20058949.952170690633459466,201179489.204211582010647007
12172580,1617532533,20029149.952170690633459466,201179489.204211582010647007
12177580,1617597642,20029149.952170690633459466,201179489.204211582010647007
12182580,1617664282,20030238.502350811049100281,201179489.204211582010647007
12187580,1617730765,20030238.502350811049100281,201179489.204211582010647007
12192580,1617797429,20055238.502350811049100281,201179489.204211582010647007
12197580,1617863801,20055238.502350811049100281,201179489.204211582010647007
